st,stname,year,population,domestics,immigrants,bach_share,efi_score,cm_share,ehs_share,ifpbs_share,nrm_share,ttuhos_share,private_gdp
08,Colorado,2007,4803868,4323708,480160,0.35027339529357837,7.075643463542239,0.155209142535831,0.07292558449534983,0.46219194797457086,0.038314567667751896,0.27135875732649645,241105.2
09,Connecticut,2007,3527270,3074076,453194,0.34624151374022266,6.787423001087737,0.23169279761880948,0.09405102436799635,0.4594117435259382,0.002345184610276085,0.2124992498769798,248896.5
10,Delaware,2007,871749,809490,62259,0.2597316122856999,6.3326703878532475,0.1481675780125807,0.07151420466225383,0.5992714714467787,0.005382559717140156,0.17566418616124657,60948.4
12,Florida,2007,18367842,14916497,3451345,0.25764864192074294,7.078648430906615,0.14529069441752301,0.09031289612713149,0.43983490375458495,0.0102973844269272,0.3142641212738333,802667.6
13,Georgia,2007,9349988,8504512,845476,0.26887291415289544,7.0161422869878045,0.1973609028512449,0.07546361028939932,0.41808805490154544,0.012665819513185177,0.29642161244462534,424859.2
15,Hawaii,2007,1315675,1092058,223617,0.28812626044408673,5.5152587586337125,0.12052276135987203,0.08844528267965968,0.3895773996101429,0.00878593318495904,0.39266862316536627,59874.5
16,Idaho,2007,1505105,1422426,82679,0.24492248705825345,6.637136238729952,0.19702634586420642,0.08772241858212175,0.3582348800775012,0.06745782466868998,0.2895585308074807,52213.7
17,Illinois,2007,12695866,10953860,1742006,0.29494127728706726,6.290792729133757,0.1983059539713818,0.08758029409815939,0.42621071985134845,0.01046833347003312,0.2774346986090772,683849.8
18,Indiana,2007,6379599,6121116,258483,0.22314284652800126,6.63572842322565,0.37090797299048495,0.08837130914535124,0.2738938809496894,0.015460300479476797,0.2513665364349977,289551.5
19,Iowa,2007,2999212,2883122,116090,0.23945490203599196,6.096772170161475,0.27047961463278414,0.08117425300195476,0.3568430605975984,0.04677254956716002,0.24473052220050262,143257.9
20,Kansas,2007,2783785,2610947,172838,0.29116593730413803,6.838693785306084,0.25304211135931165,0.08906676594688508,0.33478447919252086,0.03790849673202614,0.28519814676925626,121728.7
